Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,90081,19587843.207,7886,1714787.0420000001
2298,16.1495,0,0.0,0,0.0
2235,73.9095,1,73.9095,54,3991.113
562,151.883,21588,3278850.2040000004,3879,589154.157
2322,74.3347,1733,128822.0351,45,3345.0615
533,77.6496,1091,84715.7136,1388,107777.64480000001
655,136.191,271,36907.761,82,11167.662
414,208.958,60650,12673302.7,19891,4156383.5779999997
253,149.505,115274,17234039.37,9404,1405945.02
853,129.616,9,1166.544,79,10239.664
907,262.418,7811,2049746.9980000001,3637,954414.2660000001
1114,12.9007,5815,75017.5705,124,1599.6868
939,1055.11,143970,151904186.7,46510,49073166.099999994
2606,11.2554,8,90.0432,37,416.4498
2837,150.956,122593,18506148.908,13717,2070663.4519999998
1793,150.359,5,751.7950000000001,56,8420.104000000001
1046,85.9267,89164,7661568.2787999995,5965,512552.7655
554,46.3771,1426,66133.74459999999,618,28661.0478
1970,47.9169,1883,90227.5227,345,16531.3305

weighted_avg,NA,NA,233379593.00499997,NA,60669216.14469999
weighted_%,NA,NA,0.793676375292466,NA,0.20632362470753404
weighted_total,294048809.1496999
