Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2766,217.447,1688168,367087067.096,359464,78164368.408
2298,16.1495,1276686,20617840.557,32738,528702.331
2235,73.9095,1555987,115002221.1765,330034,24392647.922999997
562,151.883,1197819,181928343.17700002,900859,136825167.497
2322,74.3347,1462557,108718735.82789999,266727,19827071.5269
533,77.6496,1552976,120587965.20960002,1671967,129827568.76320001
655,136.191,1192151,162360236.841,164135,22353709.785
414,208.958,1532243,320174432.79399997,1118033,233621939.614
253,149.505,1297767,194022655.335,603362,90205635.81
853,129.616,1843139,238900304.624,1251863,162261474.608
907,262.418,1425824,374161882.432,1770072,464498754.096
1114,12.9007,414515,5347533.6605,155726,2008974.4082000002
939,1055.11,1456838,1537124342.1799998,1776760,1874677243.6
2606,11.2554,1582031,17806391.7174,182386,2052827.3843999999
2837,150.956,1425642,215209213.75199997,742258,112048298.64799999
1793,150.359,1485648,223380547.632,1100800,165515187.20000002
1046,85.9267,1228792,105586041.5464,287548,24708050.731599998
554,46.3771,1369454,63511305.1034,800079,37105343.7909
1970,47.9169,1348453,64613687.5557,32636,1563815.9483999999

weighted_avg,NA,NA,4436140748.217401,NA,3582186782.0736
weighted_%,NA,NA,0.553250129962751,NA,0.446749870037249
weighted_total,8018327530.291
