Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2766,217.447,1798483,391074732.901,2549,554272.403
2298,16.1495,1296014,20929978.093,0,0.0
2235,73.9095,1695044,125279854.51799999,70,5173.665
562,151.883,1464786,222476092.03800002,2059,312727.097
2322,74.3347,1563085,116191454.5495,45,3345.0615
533,77.6496,2359813,183238535.5248,1813,140778.72480000003
655,136.191,1250760,170342255.16,224,30506.784
414,208.958,1903941,397843703.478,12562,2624930.396
253,149.505,1604579,239892583.39499998,6557,980304.2849999999
853,129.616,2475982,320926882.91200006,146,18923.936
907,262.418,2106446,552769346.428,1742,457132.156
1114,12.9007,471792,6086447.0544,24,309.6168
939,1055.11,2088537,2203636274.0699997,22035,23249348.849999998
2606,11.2554,1288548,14503123.1592,118,1328.1372
2837,150.956,1655183,249859804.94799998,4332,653941.392
1793,150.359,1989549,299146598.091,179,26914.261000000002
1046,85.9267,1300716,111766233.5172,7089,609134.3763
554,46.3771,1754292,81358975.5132,400,18550.84
1970,47.9169,977802,46853240.653799996,3524,168859.1556

weighted_avg,NA,NA,5754176116.004099,NA,29856481.1372
weighted_%,NA,NA,0.994838120180727,NA,0.0051618798192728495
weighted_total,5784032597.141299
