Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2766,217.447,150375,32698592.625,6463,1405359.9610000001,4568954,993505340.438
2298,16.1495,3161,51048.5695,266,4295.767,2212696,35733934.052
2235,73.9095,616788,45586492.686,43729,3231988.5254999995,3265579,241357311.1005
562,151.883,123526,18761499.458,1157,175728.63100000002,3475613,527886529.27900004
2322,74.3347,86907,6460205.7729,17,1263.6898999999999,3304503,245639239.1541
533,77.6496,703125,54597375.00000001,7722,599610.2112,3638863,282556256.4048
655,136.191,241102,32835922.482,3981,542176.371,4773726,650138517.666
414,208.958,293969,61427174.302,6671,1393958.818,3911001,817234946.958
253,149.505,692145,103479138.225,9022,1348834.1099999999,2962398,442893312.99
853,129.616,640135,82971738.16000001,1504,194942.464,2794780,362248204.48
907,262.418,95721,25118913.378000002,931,244311.158,4141696,1086855580.928
1114,12.9007,642725,8291602.407500001,1953,25195.0671,6081337,78453504.2359
939,1055.11,169881,179243141.91,6967,7350951.369999999,3780944,3989311823.8399997
2606,11.2554,5137952,57829704.940799996,17621,198331.4034,3281877,36938838.3858
2837,150.956,243416,36745105.695999995,6205,936681.98,4412925,666157506.3
1793,150.359,954944,143584424.896,75936,11417661.024,3088090,464322124.31
1046,85.9267,724791,62278898.819699995,8659,744039.2953,3180579,273296657.5593
554,46.3771,134398,6232989.4858,1780,82551.238,3431924,159162682.5404
1970,47.9169,52149434,2498839214.0346,4340,207959.346,12331220,590873835.618

weighted_avg,NA,NA,3457033182.8487997,NA,30105840.4304,NA,11944566146.239796
weighted_%,NA,NA,0.2240214639194377,NA,0.0019509082178336093,NA,0.7740276278627287
weighted_total,15431705169.518995
