Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,103195,22439443.165
2298,16.1495,0,0.0
2235,73.9095,26330,1946037.1349999998
562,151.883,181890,27625998.87
2322,74.3347,9375,696887.8125
533,77.6496,604015,46901523.144
655,136.191,80455,10957246.905
414,208.958,2078830,434388159.14
253,149.505,427710,63944783.55
853,129.616,56890,7373854.240000001
907,262.418,98580,25869166.44
1114,12.9007,3750,48377.625
939,1055.11,2425365,2559026865.1499996
2606,11.2554,63755,717588.027
2837,150.956,202745,30605574.22
1793,150.359,57060,8579484.540000001
1046,85.9267,390050,33515709.334999997
554,46.3771,51370,2382391.627
1970,47.9169,1982585,94999327.1865

weighted_avg,NA,NA,3372018418.111999
weighted_%,NA,NA,1.0
weighted_total,3372018418.111999
