Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,2287,497301.289,262,56971.114
2298,16.1495,0,0.0,0,0.0
2235,73.9095,35,2586.8325,35,2586.8325
562,151.883,1488,226001.904,571,86725.193
2322,74.3347,36,2676.0492,9,669.0123
533,77.6496,1007,78193.1472,776,60256.08960000001
655,136.191,81,11031.471,143,19475.313000000002
414,208.958,7911,1653066.738,4264,890996.912
253,149.505,5999,896880.495,558,83423.79
853,129.616,69,8943.504,77,9980.432
907,262.418,1285,337207.13,457,119925.026
1114,12.9007,18,232.2126,6,77.4042
939,1055.11,16608,17523266.88,5427,5726081.97
2606,11.2554,44,495.2376,72,810.3888
2837,150.956,3743,565028.308,589,88913.08399999999
1793,150.359,39,5864.001,97,14584.823
1046,85.9267,6497,558265.7699,592,50868.6064
554,46.3771,281,13031.9651,118,5472.4978
1970,47.9169,3120,149500.728,189,9056.2941

weighted_avg,NA,NA,22529573.6621,NA,7226874.782699999
weighted_%,NA,NA,0.7571324818515797,NA,0.24286751814842042
weighted_total,29756448.444799997
