Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2766,217.447,7244,1575186.068,869,188961.443
2298,16.1495,0,0.0,0,0.0
2235,73.9095,98,7243.130999999999,63,4656.2985
562,151.883,3086,468710.938,876,133049.508
2322,74.3347,235,17468.6545,63,4683.0860999999995
533,77.6496,1947,151183.77120000002,1085,84249.816
655,136.191,254,34592.514,159,21654.369
414,208.958,28336,5921033.888,15030,3140638.7399999998
253,149.505,13226,1977353.13,1229,183741.645
853,129.616,97,12572.752000000002,82,10628.512
907,262.418,1643,431152.77400000003,694,182118.092
1114,12.9007,122,1573.8854000000001,4,51.6028
939,1055.11,57741,60923106.51,20450,21576999.499999996
2606,11.2554,113,1271.8602,94,1058.0076
2837,150.956,9042,1364944.152,915,138124.74
1793,150.359,79,11878.361,139,20899.901
1046,85.9267,7505,644879.8835,692,59461.276399999995
554,46.3771,214,9924.6994,111,5147.8580999999995
1970,47.9169,141,6756.2829,7,335.4183

weighted_avg,NA,NA,73560833.2551,NA,25756459.813799992
weighted_%,NA,NA,0.7406649031812435,NA,0.2593350968187565
weighted_total,99317293.06889999
