Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2766,217.447,681819253,148259551107.091
2298,16.1495,514461305,8308292845.0975
2235,73.9095,2316940936,171243946109.292
562,151.883,688508181,104572688054.82301
2322,74.3347,705911447,52473715639.3109
533,77.6496,1557232869,120918509384.70241
655,136.191,950274867,129418884411.597
414,208.958,856805270,179036315608.66
253,149.505,954809051,142748727169.755
853,129.616,2219658790,287703293724.64
907,262.418,918481833,241026165652.194
1114,12.9007,1254176426,16179753818.898201
939,1055.11,845228686,891809238885.46
2606,11.2554,7594898095,85483616018.463
2837,150.956,900135307,135880825403.49199
1793,150.359,3205193158,481929638043.72205
1046,85.9267,853143772,73307828953.51239
554,46.3771,664044529,30796459525.8859
1970,47.9169,9919680844,475320355033.8636

weighted_avg,NA,NA,3776417805390.46
weighted_%,NA,NA,1.0
weighted_total,3776417805390.46
