Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2766,217.447,29457,6405336.279,3164,688002.308
2298,16.1495,0,0.0,0,0.0
2235,73.9095,25,1847.7375,56,4138.932
562,151.883,7085,1076091.0550000002,2384,362089.07200000004
2322,74.3347,1223,90911.3381,29,2155.7063
533,77.6496,878,68176.3488,2454,190552.1184
655,136.191,152,20701.032,176,23969.616
414,208.958,21390,4469611.62,21537,4500328.4459999995
253,149.505,33712,5040112.56,4470,668287.35
853,129.616,45,5832.72,123,15942.768000000002
907,262.418,3883,1018969.094,2015,528772.27
1114,12.9007,1535,19802.574500000002,91,1173.9637
939,1055.11,43047,45419320.169999994,32726,34529529.86
2606,11.2554,18,202.5972,131,1474.4574
2837,150.956,31045,4686429.02,4960,748741.7599999999
1793,150.359,26,3909.3340000000003,247,37138.673
1046,85.9267,26002,2234266.0534,2691,231228.7497
554,46.3771,840,38956.763999999996,577,26759.5867
1970,47.9169,5152,246867.8688,527,25252.206299999998

weighted_avg,NA,NA,70847344.16629998,NA,42585537.8435
weighted_%,NA,NA,0.6245750166180134,NA,0.37542498338198654
weighted_total,113432882.00979999
