Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,97967,21302630.249,29186,6346408.142
2298,16.1495,0,0.0,0,0.0
2235,73.9095,55,4065.0224999999996,921,68070.6495
562,151.883,25467,3868004.361,18342,2785837.986
2322,74.3347,1778,132167.0966,159,11819.2173
533,77.6496,2479,192493.35840000003,12689,985295.7744000001
655,136.191,353,48075.423,2418,329309.838
414,208.958,80541,16829686.278,138996,29044326.168
253,149.505,124678,18639984.39,46906,7012681.529999999
853,129.616,88,11406.208,877,113673.23200000002
907,262.418,11448,3004161.264,17584,4614358.112
1114,12.9007,5939,76617.2573,478,6166.5346
939,1055.11,190480,200977352.79999998,239278,252464610.57999998
2606,11.2554,45,506.493,445,5008.653
2837,150.956,136310,20576812.36,60324,9106269.743999999
1793,150.359,61,9171.899000000001,1118,168101.36200000002
1046,85.9267,95129,8174121.044299999,26280,2258153.676
554,46.3771,2044,94794.79239999999,3680,170667.728
1970,47.9169,2228,106758.8532,2145,102781.7505

weighted_avg,NA,NA,294048809.1497,NA,315593540.6773
weighted_%,NA,NA,0.48233002387898927,NA,0.5176699761210108
weighted_total,609642349.8269999
