Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_w_val
2766,217.447,2,434.894,0,0.0,6,1304.682
2298,16.1495,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0
562,151.883,1,151.883,0,0.0,19,2885.777
2322,74.3347,0,0.0,0,0.0,2,148.6694
533,77.6496,13,1009.4448000000001,0,0.0,44,3416.5824000000002
655,136.191,1,136.191,0,0.0,3,408.573
414,208.958,7,1462.706,0,0.0,166,34687.028
253,149.505,0,0.0,0,0.0,1,149.505
853,129.616,2,259.232,0,0.0,3,388.84800000000007
907,262.418,2,524.836,0,0.0,2,524.836
1114,12.9007,0,0.0,0,0.0,0,0.0
939,1055.11,6,6330.66,0,0.0,80,84408.79999999999
2606,11.2554,1,11.2554,0,0.0,3,33.7662
2837,150.956,0,0.0,0,0.0,1,150.956
1793,150.359,2,300.718,0,0.0,4,601.436
1046,85.9267,1,85.9267,0,0.0,20,1718.5339999999999
554,46.3771,0,0.0,0,0.0,1,46.3771
1970,47.9169,0,0.0,0,0.0,0,0.0

weighted_avg,NA,NA,10707.7469,NA,0.0,NA,130874.37009999999
weighted_%,NA,NA,0.07562923289245632,NA,0.0,NA,0.9243707671075436
weighted_total,141582.117
