Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,2118,460552.746,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,23,1699.9184999999998,0,0.0
562,151.883,1242,188638.68600000002,0,0.0
2322,74.3347,34,2527.3797999999997,0,0.0
533,77.6496,661,51326.3856,0,0.0
655,136.191,65,8852.415,0,0.0
414,208.958,6040,1262106.32,0,0.0
253,149.505,5628,841414.14,0,0.0
853,129.616,42,5443.872,0,0.0
907,262.418,1053,276326.154,0,0.0
1114,12.9007,16,206.4112,0,0.0
939,1055.11,13578,14326283.579999998,0,0.0
2606,11.2554,29,326.40659999999997,0,0.0
2837,150.956,3312,499966.27199999994,0,0.0
1793,150.359,19,2856.8210000000004,0,0.0
1046,85.9267,6228,535151.4876,0,0.0
554,46.3771,214,9924.6994,0,0.0
1970,47.9169,2850,136563.165,0,0.0

weighted_avg,NA,NA,18610166.859699994,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,18610166.859699994
