Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,30155,6557114.285
2298,16.1495,0,0.0
2235,73.9095,201,14855.8095
562,151.883,25097,3811807.651
2322,74.3347,4110,305515.61699999997
533,77.6496,6638,515438.04480000003
655,136.191,1489,202788.399
414,208.958,84424,17641070.192
253,149.505,63109,9435111.045
853,129.616,274,35514.78400000001
907,262.418,11565,3034864.17
1114,12.9007,11072,142836.5504
939,1055.11,181871,191893910.80999997
2606,11.2554,291,3275.3214
2837,150.956,46854,7072892.424
1793,150.359,263,39544.417
1046,85.9267,35576,3056928.2791999998
554,46.3771,1293,59965.590299999996
1970,47.9169,1984,95067.1296

weighted_avg,NA,NA,243918500.51919994
weighted_%,NA,NA,1.0
weighted_total,243918500.51919994
