Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2766,217.447,267725548,58216117235.956
2298,16.1495,0,0.0
2235,73.9095,2169992985,160383096524.85748
562,151.883,450637996,68444250746.468
2322,74.3347,230931654,17166235220.5938
533,77.6496,1247452598,96864195253.66081
655,136.191,1260988618,171735300874.038
414,208.958,891784892,186345587462.536
253,149.505,374046569,55921832298.345
853,129.616,1783384811,231155205662.57602
907,262.418,266604102,69961715238.636
1114,12.9007,281279800,3628706315.86
939,1055.11,752075474,793522353372.1399
2606,11.2554,3443598538,38759078984.6052
2837,150.956,271340575,40960487839.7
1793,150.359,3211668267,482903228957.853
1046,85.9267,294759380,25327700817.446
554,46.3771,338175055,15683578343.2405
1970,47.9169,3666484408,175686566729.6952

weighted_avg,NA,NA,2692665237878.207
weighted_%,NA,NA,1.0
weighted_total,2692665237878.207
