Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2766,217.447,1777,386403.319,6336,1377744.192
2298,16.1495,0,0.0,0,0.0
2235,73.9095,0,0.0,161,11899.429499999998
562,151.883,1043,158413.969,2919,443346.477
2322,74.3347,213,15833.2911,85,6318.4495
533,77.6496,55,4270.728,2977,231162.8592
655,136.191,1,136.191,412,56110.692
414,208.958,1963,410184.554,41403,8651488.074
253,149.505,4689,701028.945,9766,1460065.8299999998
853,129.616,3,388.84800000000007,176,22812.416
907,262.418,277,72689.78600000001,2060,540581.08
1114,12.9007,117,1509.3819,9,116.1063
939,1055.11,4494,4741664.34,73697,77758441.66999999
2606,11.2554,0,0.0,207,2329.8678
2837,150.956,4014,605937.384,5943,897131.5079999999
1793,150.359,0,0.0,218,32778.262
1046,85.9267,2482,213270.06939999998,5715,491071.0905
554,46.3771,44,2040.5924,281,13031.9651
1970,47.9169,89,4264.6041,59,2827.0971

weighted_avg,NA,NA,7318036.002900001,NA,91999257.06599998
weighted_%,NA,NA,0.07368340171961005,NA,0.9263165982803899
weighted_total,99317293.06889999
