Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
4118,2431.67,203849,495693497.83000004
1010,22.174,203634,4515380.316
1362,2347.06,202706,475763144.36
5198,1186.62,203518,241498529.15999997

weighted_avg,NA,NA,1217470551.666
weighted_%,NA,NA,1.0
weighted_total,1217470551.666
