Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,32743,1471948.4678,14308,643210.4168
812,334.908,348694,116780410.15200001,62479,20924716.932
1358,97.2156,72259,7024702.040399999,37118,3608448.6407999997
1778,40.8635,2,81.727,3,122.5905
828,45.4532,225,10226.970000000001,407,18499.452400000002
2213,8.07837,3,24.23511,45,363.52664999999996
1726,65.5195,595,38984.10249999999,85,5569.157499999999
2054,37.2896,1062,39601.5552,709,26438.3264
1903,16.1097,39,628.2783000000001,44,708.8268
509,133.977,68833,9222038.841,6601,884382.177
1751,10.0901,0,0.0,0,0.0
62,40.4224,27809,1124106.5216,8128,328553.2672
2151,40.7196,34,1384.4664,284,11564.3664
239,98.774,1962,193794.588,416,41089.984
1893,44.3029,0,0.0,1,44.3029
1305,111.513,90821,10127722.173,46578,5194052.514
1673,34.2884,354,12138.0936,68,2331.6112000000003
492,45.4197,49252,2237011.0644,11560,525051.732
2249,320.874,116626,37422251.124000005,67585,21686269.290000003
264,17.7912,36713,653168.3256,5627,100111.0824
2123,26.1783,70,1832.481,17,445.0311
116,27.1629,647,17574.3963,11,298.7919
1159,18.1708,63,1144.7604,389,7068.4412
1270,263.009,28667,7539679.0030000005,23412,6157566.708000001
2165,28.2044,630,17768.772,53,1494.8332
1152,171.372,1944,333147.168,1172,200847.98400000003
792,79.0312,150180,11868905.616,3636,287357.4432
1979,51.6033,4017,207290.45609999998,917,47320.2261
2185,56.1164,0,0.0,26,1459.0264

weighted_avg,NA,NA,206347565.37871003,NA,60705386.682050005
weighted_%,NA,NA,0.7726840830119778,NA,0.22731591698802223
weighted_total,267052952.06076002
