Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2264,44.9546,4360675,196032400.355
812,334.908,3911475,1309984269.3
1358,97.2156,5510950,535750310.82
1778,40.8635,10647125,435078792.4375
828,45.4532,9842151,447357257.83320004
2213,8.07837,4735124,38252083.66788
1726,65.5195,2977620,195092173.58999997
2054,37.2896,2865219,106842870.4224
1903,16.1097,3124274,50331116.8578
509,133.977,9560940,1280946058.38
1751,10.0901,3674272,37073771.9072
62,40.4224,3915734,158283366.04160002
2151,40.7196,9241466,376308798.9336
239,98.774,2944910,290880540.34
1893,44.3029,3571237,158216155.6873
1305,111.513,6816349,760111526.0370001
1673,34.2884,3974928,136293921.23520002
492,45.4197,7324100,332658424.77
2249,320.874,4537249,1455885235.6260002
264,17.7912,16053612,285613021.8144
2123,26.1783,10479541,274336568.1603
116,27.1629,6203625,168508445.51250002
1159,18.1708,3883792,70571607.6736
1270,263.009,6261435,1646813757.9150002
2165,28.2044,3289012,92764610.0528
1152,171.372,3784359,648533170.5480001
792,79.0312,4201634,332060176.9808
1979,51.6033,4496128,232015042.0224
2185,56.1164,15906066,892591162.0824

weighted_avg,NA,NA,12945186637.003881
weighted_%,NA,NA,1.0
weighted_total,12945186637.003881
