Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,47051,2115158.8846,60272,2709503.6511999997
812,334.908,411173,137705127.08400002,113107,37880439.156
1358,97.2156,109377,10633150.6812,108507,10548573.109199999
1778,40.8635,5,204.3175,41,1675.4035000000001
828,45.4532,632,28726.422400000003,2457,111678.5124
2213,8.07837,48,387.76176,561,4531.965569999999
1726,65.5195,680,44553.259999999995,787,51563.84649999999
2054,37.2896,1771,66039.8816,3569,133086.5824
1903,16.1097,83,1337.1051,207,3334.7079
509,133.977,75434,10106421.018000001,22711,3042751.647
1751,10.0901,0,0.0,8,80.7208
62,40.4224,35937,1452659.7888000002,19927,805497.1648
2151,40.7196,318,12948.8328,3164,128836.8144
239,98.774,2378,234884.57200000001,1308,129196.392
1893,44.3029,1,44.3029,18,797.4522000000001
1305,111.513,137399,15321774.687,132259,14748597.867
1673,34.2884,422,14469.704800000001,322,11040.864800000001
492,45.4197,60812,2762062.7964,39401,1789581.5997
2249,320.874,184211,59108520.414000005,155694,49958156.556
264,17.7912,42340,753279.408,28250,502601.4
2123,26.1783,87,2277.5121,57,1492.1631
116,27.1629,658,17873.1882,292,7931.5668000000005
1159,18.1708,452,8213.2016,4839,87928.5012
1270,263.009,52079,13697245.711000001,131743,34649594.687
2165,28.2044,683,19263.605199999998,243,6853.6692
1152,171.372,3116,533995.152,5539,949229.508
792,79.0312,153816,12156263.0592,15096,1193054.9952
1979,51.6033,4934,254610.68219999998,1981,102226.13729999999
2185,56.1164,26,1459.0264,345,19360.158

weighted_avg,NA,NA,267052952.06076002,NA,159579196.79917005
weighted_%,NA,NA,0.6259559969270803,NA,0.3740440030729198
weighted_total,426632148.85993004
