Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,67652,3041268.5992,0,0.0
812,334.908,88400,29605867.200000003,0,0.0
1358,97.2156,279386,27160677.6216,0,0.0
1778,40.8635,82,3350.8070000000002,0,0.0
828,45.4532,24402,1109148.9864,0,0.0
2213,8.07837,861,6955.47657,0,0.0
1726,65.5195,250,16379.874999999998,0,0.0
2054,37.2896,9323,347650.9408,0,0.0
1903,16.1097,290,4671.813,0,0.0
509,133.977,74849,10028044.473000001,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,16244,656621.4656,0,0.0
2151,40.7196,20484,834100.2864,0,0.0
239,98.774,1382,136505.668,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,417451,46551213.363000005,0,0.0
1673,34.2884,1721,59010.33640000001,0,0.0
492,45.4197,95520,4338489.744,0,0.0
2249,320.874,274101,87951884.274,0,0.0
264,17.7912,26752,475950.1824,0,0.0
2123,26.1783,613,16047.2979,0,0.0
116,27.1629,5043,136982.5047,0,0.0
1159,18.1708,6973,126704.9884,0,0.0
1270,263.009,641625,168753149.625,244,64174.196
2165,28.2044,303,8545.9332,0,0.0
1152,171.372,6635,1137053.2200000002,0,0.0
792,79.0312,9522,752535.0864,0,0.0
1979,51.6033,36176,1866800.9807999998,0,0.0
2185,56.1164,2683,150560.3012,0,0.0

weighted_avg,NA,NA,385276171.04997,NA,64174.196
weighted_%,NA,NA,0.9998334609993692,NA,0.00016653900063082265
weighted_total,385340345.24596995
