Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,7652,343992.5992
812,334.908,57212,19160756.496
1358,97.2156,32017,3112551.8652
1778,40.8635,37,1511.9495000000002
828,45.4532,919,41771.4908
2213,8.07837,73,589.72101
1726,65.5195,3,196.55849999999998
2054,37.2896,639,23828.0544
1903,16.1097,79,1272.6663
509,133.977,5936,795287.4720000001
1751,10.0901,0,0.0
62,40.4224,1895,76600.448
2151,40.7196,554,22558.6584
239,98.774,294,29039.556
1893,44.3029,0,0.0
1305,111.513,41564,4634926.332
1673,34.2884,83,2845.9372000000003
492,45.4197,9731,441979.1007
2249,320.874,65759,21100353.366
264,17.7912,5564,98990.2368
2123,26.1783,24,628.2792
116,27.1629,307,8339.0103
1159,18.1708,711,12919.4388
1270,263.009,30688,8071220.192000001
2165,28.2044,84,2369.1696
1152,171.372,634,108649.84800000001
792,79.0312,4468,353111.4016
1979,51.6033,660,34058.178
2185,56.1164,98,5499.4072

weighted_avg,NA,NA,58485847.43271001
weighted_%,NA,NA,1.0
weighted_total,58485847.43271001
