Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2264,44.9546,88445,3976009.597,22147,995609.5262
812,334.908,923564,309308972.112,18614,6233977.512
1358,97.2156,777508,75585906.72479999,30742,2988601.9751999998
1778,40.8635,20167,824094.2045,23048,941821.9480000001
828,45.4532,8889,404033.49480000004,6563,298309.3516
2213,8.07837,4913,39689.03181,1990,16075.9563
1726,65.5195,4418,289465.15099999995,3255,213265.97249999997
2054,37.2896,134189,5003854.1344,39662,1478980.1152000001
1903,16.1097,14836,239003.5092,3514,56609.4858
509,133.977,101012,13533284.724,1933,258977.541
1751,10.0901,1221,12320.0121,2149,21683.6249
62,40.4224,3923,158577.07520000002,2876,116254.8224
2151,40.7196,67962,2767385.4552,24594,1001457.8424
239,98.774,5670,560048.58,192,18964.608
1893,44.3029,128,5670.7712,69,3056.9001000000003
1305,111.513,971725,108359969.92500001,56201,6267142.113
1673,34.2884,2829,97001.8836,2120,72691.40800000001
492,45.4197,190245,8640870.8265,3496,158787.2712
2249,320.874,980348,314568184.152,47369,15199480.506000001
264,17.7912,25576,455027.7312,23617,420174.7704
2123,26.1783,4044,105865.04520000001,301,7879.6683
116,27.1629,1518,41233.2822,1939,52668.8631
1159,18.1708,19796,359709.1568,5571,101229.52679999999
1270,263.009,820941,215914871.469,276121,72622308.089
2165,28.2044,8859,249862.7796,2187,61683.0228
1152,171.372,23928,4100589.2160000005,4819,825841.6680000001
792,79.0312,4530,358011.336,32,2528.9984
1979,51.6033,39851,2056443.1083,3080,158938.164
2185,56.1164,18853,1057962.4892,13181,739670.2684

weighted_avg,NA,NA,1069073916.9778099,NA,111334671.51900001
weighted_%,NA,NA,0.9056812424071066,NA,0.09431875759289335
weighted_total,1180408588.49681
