Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2264,44.9546,186901193,8402068370.8378
812,334.908,204440411,68468729167.188
1358,97.2156,279057620,27128753962.871998
1778,40.8635,671563766,27442445951.941
828,45.4532,444433828,20200939670.8496
2213,8.07837,269249111,2175093940.82907
1726,65.5195,170491917,11170545155.881498
2054,37.2896,171203994,6384128454.6624
1903,16.1097,197038811,3174236133.5667
509,133.977,584040329,78247971158.433
1751,10.0901,222245115,2242475434.8615
62,40.4224,220203008,8901134070.5792
2151,40.7196,452493082,18425337301.8072
239,98.774,166867220,16482142788.28
1893,44.3029,227792735,10091878759.4315
1305,111.513,339842529,37896859936.377
1673,34.2884,230529631,7904492199.5804
492,45.4197,429511008,19508261130.0576
2249,320.874,137747027,44199439541.598
264,17.7912,859078253,15284033014.7736
2123,26.1783,532735444,13946108273.6652
116,27.1629,304449674,8269736049.8946
1159,18.1708,187216393,3401871633.9244
1270,263.009,221039812,58135459914.30801
2165,28.2044,201299382,5677528289.6807995
1152,171.372,173729430,29772359877.960003
792,79.0312,259760967,20529220935.1704
1979,51.6033,262672322,13554758633.862598
2185,56.1164,787040222,44165863913.8408

weighted_avg,NA,NA,631183873666.714
weighted_%,NA,NA,1.0
weighted_total,631183873666.714
