Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,2552,114724.1392,0,0.0
812,334.908,7734,2590178.472,0,0.0
1358,97.2156,9314,905466.0983999999,0,0.0
1778,40.8635,2,81.727,0,0.0
828,45.4532,247,11226.940400000001,0,0.0
2213,8.07837,7,56.54859,0,0.0
1726,65.5195,20,1310.3899999999999,0,0.0
2054,37.2896,219,8166.4224,0,0.0
1903,16.1097,6,96.6582,0,0.0
509,133.977,1617,216640.809,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,483,19524.019200000002,0,0.0
2151,40.7196,111,4519.8756,0,0.0
239,98.774,118,11655.332,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,12064,1345292.8320000002,0,0.0
1673,34.2884,81,2777.3604,0,0.0
492,45.4197,2493,113231.3121,0,0.0
2249,320.874,15391,4938571.734,0,0.0
264,17.7912,1012,18004.6944,0,0.0
2123,26.1783,36,942.4188,0,0.0
116,27.1629,315,8556.3135,0,0.0
1159,18.1708,78,1417.3224,0,0.0
1270,263.009,9356,2460712.204,2,526.018
2165,28.2044,3,84.6132,0,0.0
1152,171.372,183,31361.076,0,0.0
792,79.0312,695,54926.684,0,0.0
1979,51.6033,696,35915.896799999995,0,0.0
2185,56.1164,6,336.6984,0,0.0

weighted_avg,NA,NA,12895778.59199,NA,526.018
weighted_%,NA,NA,0.9999592117264668,NA,4.0788273533220146e-05
weighted_total,12896304.609989999
