Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2766,217.447,4095138,890475472.686
2298,16.1495,2878184,46481232.508
2235,73.9095,12396974,916254149.8529999
562,151.883,3918483,595150953.4890001
2322,74.3347,4282130,318310848.911
533,77.6496,9329755,724451743.848
655,136.191,4279723,582859755.093
414,208.958,4695877,981241066.166
253,149.505,5049072,754861509.36
853,129.616,12808313,1660162297.808
907,262.418,5282771,1386294200.278
1114,12.9007,7861802,101422749.06140001
939,1055.11,4759289,5021573416.79
2606,11.2554,48702982,548171543.6028
2837,150.956,4589104,692752783.4239999
1793,150.359,18335020,2756835272.1800003
1046,85.9267,4229372,363415979.0324
554,46.3771,3762326,174485769.13459998
1970,47.9169,76622127,3671494797.2462997

weighted_avg,NA,NA,22186695540.471497
weighted_%,NA,NA,1.0
weighted_total,22186695540.471497
