Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2766,217.447,121548004,26430248825.788002
2298,16.1495,89521069,1445720503.8155
2235,73.9095,395716279,29247192322.750496
562,151.883,99124753,15055364859.899
2322,74.3347,128589480,9558660418.956
533,77.6496,268374716,20839189347.513603
655,136.191,134571041,18327364644.831
414,208.958,122484713,25594160659.054
253,149.505,147820181,22099856160.405
853,129.616,395815388,51304007331.008
907,262.418,122194775,32066108465.95
1114,12.9007,234543832,3025779613.4824
939,1055.11,110248795,116324606092.44998
2606,11.2554,1591527764,17913281594.9256
2837,150.956,126856562,19149759173.272
1793,150.359,575226097,86490420718.823
1046,85.9267,127447319,10951127545.5173
554,46.3771,103301367,4790817827.4957
1970,47.9169,2514475349,120485863850.4981

weighted_avg,NA,NA,631099529956.4346
weighted_%,NA,NA,1.0
weighted_total,631099529956.4346
