Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2766,217.447,93527,20337165.569000002,14907,3241482.429
2298,16.1495,0,0.0,0,0.0
2235,73.9095,27,1995.5565,153,11308.153499999999
562,151.883,19320,2934379.56,6594,1001516.5020000001
2322,74.3347,1704,126666.3288,191,14197.9277
533,77.6496,1626,126258.24960000001,3986,309511.3056
655,136.191,1207,164382.537,866,117941.406
414,208.958,61715,12895842.97,41344,8639159.552
253,149.505,118112,17658334.56,18645,2787520.725
853,129.616,61,7906.576000000001,202,26182.432000000004
907,262.418,8832,2317675.776,5691,1493420.838
1114,12.9007,10202,131612.9414,790,10191.553
939,1055.11,142427,150276151.97,89722,94666579.41999999
2606,11.2554,31,348.9174,155,1744.587
2837,150.956,128556,19406299.536,22207,3352279.8919999995
1793,150.359,26,3909.3340000000003,164,24658.876
1046,85.9267,96447,8287372.4349,11199,962293.1133
554,46.3771,1980,91826.658,1182,54817.7322
1970,47.9169,5340,255876.24599999998,734,35171.0046

weighted_avg,NA,NA,235024005.72059995,NA,116749977.44889998
weighted_%,NA,NA,0.6681108238961356,NA,0.33188917610386437
weighted_total,351773983.16949993
