Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2766,217.447,1798049,390980360.903,3063,666040.161
2298,16.1495,1296014,20929978.093,0,0.0
2235,73.9095,1694931,125271502.7445,79,5838.8505
562,151.883,1463051,222212575.03300002,2211,335813.313
2322,74.3347,1563027,116187143.1369,62,4608.7514
533,77.6496,2357704,183074772.5184,1861,144505.9056
655,136.191,1250639,170325776.049,250,34047.75
414,208.958,1888105,394534644.59,15211,3178460.138
253,149.505,1605085,239968232.92499998,6606,987630.03
853,129.616,2475766,320898885.856,147,19053.552000000003
907,262.418,2106331,552739168.358,1768,463955.02400000003
1114,12.9007,471811,6086692.1677,40,516.028
939,1055.11,2067910,2181872520.1,24994,26371419.339999996
2606,11.2554,1288186,14499048.7044,104,1170.5616
2837,150.956,1654569,249767117.964,4430,668735.08
1793,150.359,1989575,299150507.425,297,44656.623
1046,85.9267,1300159,111718372.34529999,7175,616524.0725
554,46.3771,1754426,81365190.0446,449,20823.3179
1970,47.9169,977846,46855348.9974,4677,224107.3413

weighted_avg,NA,NA,5728437837.955198,NA,33787905.8398
weighted_%,NA,NA,0.9941363099361069,NA,0.005863690063893142
weighted_total,5762225743.794998
