Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2766,217.447,29908,6503404.876,3060,665387.8200000001
2298,16.1495,0,0.0,0,0.0
2235,73.9095,8,591.276,17,1256.4615
562,151.883,5516,837786.628,1716,260631.228
2322,74.3347,157,11670.5479,23,1709.6981
533,77.6496,770,59790.192,1849,143574.1104
655,136.191,935,127338.585,286,38950.626000000004
414,208.958,18919,3953276.402,12130,2534660.54
253,149.505,29373,4391410.365,3475,519529.875
853,129.616,37,4795.792,59,7647.344000000001
907,262.418,4191,1099793.838,1755,460543.59
1114,12.9007,2803,36160.6621,175,2257.6225
939,1055.11,37102,39146691.22,21492,22676424.119999997
2606,11.2554,30,337.662,21,236.36339999999998
2837,150.956,29779,4495318.723999999,6431,970798.036
1793,150.359,15,2255.385,55,8269.745
1046,85.9267,23628,2030276.0676,2324,199693.6508
554,46.3771,956,44336.5076,505,23420.4355
1970,47.9169,5015,240303.2535,578,27695.9682

weighted_avg,NA,NA,62985537.98369999,NA,28542687.234399997
weighted_%,NA,NA,0.6881542587940885,NA,0.3118457412059116
weighted_total,91528225.21809998
