Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2766,217.447,4,869.788,4768,1036787.296
2298,16.1495,0,0.0,0,0.0
2235,73.9095,0,0.0,64,4730.208
562,151.883,20,3037.6600000000003,1743,264732.069
2322,74.3347,0,0.0,29,2155.7063
533,77.6496,11,854.1456000000001,1843,143108.2128
655,136.191,0,0.0,216,29417.256
414,208.958,45,9403.11,19895,4157219.41
253,149.505,10,1495.05,7178,1073146.89
853,129.616,0,0.0,99,12831.984000000002
907,262.418,15,3936.27,1296,340093.728
1114,12.9007,0,0.0,168,2167.3176000000003
939,1055.11,102,107621.21999999999,41747,44047677.169999994
2606,11.2554,0,0.0,107,1204.3278
2837,150.956,35,5283.46,4843,731079.9079999999
1793,150.359,0,0.0,144,21651.696
1046,85.9267,23,1976.3140999999998,4104,352643.1768
554,46.3771,2,92.7542,170,7884.107
1970,47.9169,0,0.0,49,2347.9281

weighted_avg,NA,NA,134569.77189999996,NA,52230878.39139999
weighted_%,NA,NA,0.0025698199217229728,NA,0.9974301800782771
weighted_total,52365448.163299985
