Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2766,217.447,148227,32231516.469,1841,400319.927
2298,16.1495,0,0.0,0,0.0
2235,73.9095,76442,5649789.999,18797,1389276.8715
562,151.883,23121,3511686.8430000003,3793,576092.219
2322,74.3347,2763,205386.7761,84,6244.114799999999
533,77.6496,57807,4488690.427200001,4877,378697.09920000006
655,136.191,14642,1994108.622,952,129653.83200000001
414,208.958,918481,191923952.798,92706,19371660.348
253,149.505,44464,6647590.319999999,1472,220071.36
853,129.616,186977,24235210.832000002,1079,139855.66400000002
907,262.418,13986,3670178.148,633,166110.594
1114,12.9007,1136,14655.1952,25,322.51750000000004
939,1055.11,624500,658916194.9999999,80537,84975394.07
2606,11.2554,307467,3460664.0718,78226,880464.9204
2837,150.956,28110,4243373.16,804,121368.624
1793,150.359,116360,17495773.240000002,8241,1239108.519
1046,85.9267,57548,4944909.7316,2221,190843.2007
554,46.3771,8443,391561.8553,699,32417.5929
1970,47.9169,8715,417595.78349999996,87,4168.7703

weighted_avg,NA,NA,964442839.2716998,NA,110222070.24429996
weighted_%,NA,NA,0.8974358711554645,NA,0.10256412884453539
weighted_total,1074664909.5159998
