Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,24567,5342020.449,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,3317,245157.81149999998,0,0.0
562,151.883,32585,4949107.555000001,0,0.0
2322,74.3347,1646,122354.91619999999,0,0.0
533,77.6496,75533,5865107.2368,0,0.0
655,136.191,7087,965185.617,0,0.0
414,208.958,353068,73776383.144,22,4597.076
253,149.505,83899,12543319.995,0,0.0
853,129.616,5537,717683.7920000001,0,0.0
907,262.418,14028,3681199.704,0,0.0
1114,12.9007,472,6089.1304,0,0.0
939,1055.11,398209,420154297.98999995,65,68582.15
2606,11.2554,5239,58967.0406,0,0.0
2837,150.956,32417,4893540.652,0,0.0
1793,150.359,5893,886065.587,0,0.0
1046,85.9267,76188,6546583.4196,0,0.0
554,46.3771,6313,292778.6323,0,0.0
1970,47.9169,395578,18954871.4682,0,0.0

weighted_avg,NA,NA,560000714.1406,NA,73179.226
weighted_%,NA,NA,0.9998693400516134,NA,0.00013065994838666774
weighted_total,560073893.3665999
