Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,128850,28018045.95
2298,16.1495,0,0.0
2235,73.9095,35845,2649286.0275
562,151.883,226275,34367325.825
2322,74.3347,9215,684994.2605
533,77.6496,649305,50418273.528000005
655,136.191,61920,8432946.72
414,208.958,2691285,562365531.03
253,149.505,438990,65631199.949999996
853,129.616,53895,6985654.32
907,262.418,99390,26081725.02
1114,12.9007,2965,38250.5755
939,1055.11,2911700,3072163786.9999995
2606,11.2554,57965,652419.2609999999
2837,150.956,202875,30625198.499999996
1793,150.359,75235,11312259.365
1046,85.9267,409695,35203739.3565
554,46.3771,49240,2283608.404
1970,47.9169,2324880,111401042.472

weighted_avg,NA,NA,4049315287.5649996
weighted_%,NA,NA,1.0
weighted_total,4049315287.5649996
