Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2766,217.447,456733889,99315413961.383
2298,16.1495,0,0.0
2235,73.9095,2022263009,149464447863.6855
562,151.883,478900260,72736808189.58
2322,74.3347,110376452,8204800446.4844
533,77.6496,1680493071,130489614765.92162
655,136.191,740201559,100808790521.769
414,208.958,962436987,201108907929.546
253,149.505,477219600,71346716298.0
853,129.616,1747508414,226505050589.02402
907,262.418,416961831,109418289767.358
1114,12.9007,379806768,4899773171.9376
939,1055.11,788914347,832391416663.1699
2606,11.2554,2555042490,28758025241.946
2837,150.956,390172637,58898900590.97199
1793,150.359,2837996503,426718316194.577
1046,85.9267,341371706,29332944169.9502
554,46.3771,363329463,16850166838.4973
1970,47.9169,6265472771,300222032220.7299

weighted_avg,NA,NA,2867470415424.5312
weighted_%,NA,NA,1.0
weighted_total,2867470415424.5312
