Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
2766,217.447,13,2826.811,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,6,443.457,22,1626.0089999999998
562,151.883,62,9416.746000000001,125,18985.375
2322,74.3347,3,223.0041,8,594.6776
533,77.6496,131,10172.097600000001,132,10249.747200000002
655,136.191,9,1225.719,40,5447.64
414,208.958,481,100508.798,1770,369855.66
253,149.505,4,598.02,12,1794.06
853,129.616,9,1166.544,12,1555.3920000000003
907,262.418,11,2886.598,24,6298.032
1114,12.9007,0,0.0,0,0.0
939,1055.11,294,310202.33999999997,1867,1969890.3699999999
2606,11.2554,5,56.277,25,281.385
2837,150.956,4,603.824,0,0.0
1793,150.359,6,902.154,15,2255.385
1046,85.9267,42,3608.9213999999997,85,7303.769499999999
554,46.3771,9,417.3939,15,695.6564999999999
1970,47.9169,0,0.0,0,0.0

weighted_avg,NA,NA,445258.70499999996,NA,2396833.1587999994
weighted_%,NA,NA,0.156665838522429,NA,0.843334161477571
weighted_total,2842091.8637999995
