Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,43954,9557665.438000001
2298,16.1495,0,0.0
2235,73.9095,175,12934.162499999999
562,151.883,18469,2805127.1270000003
2322,74.3347,2334,173497.1898
533,77.6496,4551,353383.32960000006
655,136.191,7742,1054390.722
414,208.958,55006,11493943.748
253,149.505,53603,8013916.515
853,129.616,276,35774.016
907,262.418,11794,3094957.892
1114,12.9007,22580,291297.806
939,1055.11,117216,123675773.75999999
2606,11.2554,197,2217.3138
2837,150.956,69186,10444041.816
1793,150.359,252,37890.468
1046,85.9267,38261,3287641.4687
554,46.3771,2439,113113.7469
1970,47.9169,3666,175663.3554

weighted_avg,NA,NA,174623229.87469995
weighted_%,NA,NA,1.0
weighted_total,174623229.87469995
