Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2766,217.447,1564408,340175826.376,339671,73860439.937
2298,16.1495,1276686,20617840.557,32738,528702.331
2235,73.9095,1537968,113670445.896,329048,24319773.156
562,151.883,1172621,178101195.34300002,887620,134814388.46
2322,74.3347,1460686,108579655.60419999,266372,19800682.7084
533,77.6496,1549604,120326130.75840001,1659215,128837381.06400001
655,136.191,1189925,162057075.675,162098,22076288.718000002
414,208.958,1435595,299979060.01,984594,205738793.052
253,149.505,1150171,171956315.355,580495,86786904.975
853,129.616,1842593,238829534.28800002,1250868,162132506.68800002
907,262.418,1412765,370734965.77,1762006,462382090.508
1114,12.9007,400346,5164743.642200001,154783,1996809.0481
939,1055.11,1270465,1340480326.1499999,1588199,1675724646.8899999
2606,11.2554,1504868,16937891.2872,179250,2017530.45
2837,150.956,1267255,191299745.77999997,712682,107583623.992
1793,150.359,1478400,222290745.60000002,1099069,165254915.771
1046,85.9267,1108547,95253785.5049,271787,23353760.0129
554,46.3771,1366474,63373101.3454,797572,36989076.4012
1970,47.9169,1332249,63837242.1081,31022,1486478.0718

weighted_avg,NA,NA,4123665627.0503993,NA,3335684792.2344
weighted_%,NA,NA,0.5528183280395849,NA,0.4471816719604151
weighted_total,7459350419.2848
