Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,2573,559491.131,340,73931.98
2298,16.1495,0,0.0,0,0.0
2235,73.9095,27,1995.5565,45,3325.9275
562,151.883,1521,231014.043,597,90674.15100000001
2322,74.3347,41,3047.7227,19,1412.3593
533,77.6496,788,61187.88480000001,940,72990.62400000001
655,136.191,74,10078.134,156,21245.796000000002
414,208.958,7542,1575961.236,4567,954311.186
253,149.505,5753,860102.265,775,115866.375
853,129.616,48,6221.568000000001,69,8943.504
907,262.418,1215,318837.87,517,135670.106
1114,12.9007,28,361.2196,12,154.8084
939,1055.11,15360,16206489.599999998,6196,6537461.56
2606,11.2554,30,337.662,62,697.8348
2837,150.956,3638,549177.928,746,112613.17599999999
1793,150.359,26,3909.3340000000003,73,10976.207
1046,85.9267,6359,546407.8853,723,62125.0041
554,46.3771,291,13495.7361,146,6771.0566
1970,47.9169,3172,151992.4068,371,17777.1699

weighted_avg,NA,NA,21100109.182799995,NA,8226948.8256
weighted_%,NA,NA,0.7194758225239096,NA,0.2805241774760905
weighted_total,29327058.008399993
