Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
2766,217.447,19.346,4206.729662
2298,16.1495,15.482,250.026559
2235,73.9095,16.154,1193.934063
562,151.883,18.526,2813.784458
2322,74.3347,20.565,1528.6931055
533,77.6496,18.486,1435.4305056
655,136.191,15.204,2070.6479640000002
414,208.958,16.55,3458.2549
253,149.505,18.195,2720.2434749999998
853,129.616,19.125,2478.9060000000004
907,262.418,16.999,4460.8435819999995
1114,12.9007,20.024,258.3236168
939,1055.11,16.521,17431.472309999997
2606,11.2554,21.922,246.7408788
2837,150.956,15.915,2402.46474
1793,150.359,19.404,2917.566036
1046,85.9267,17.577,1510.3336059
554,46.3771,17.697,820.7355386999999
1970,47.9169,24.874,1191.8849705999999

weighted_avg,NA,NA,53397.01597089999
weighted_%,NA,NA,1.0
weighted_total,53397.01597089999
