Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2766,217.447,150360,32695330.92,6466,1406012.302,4568966,993507949.802
2298,16.1495,3161,51048.5695,266,4295.767,2212696,35733934.052
2235,73.9095,616708,45580579.926,43681,3228440.8694999996,3265707,241366771.51649997
562,151.883,123141,18703024.503000002,1156,175576.74800000002,3475999,527945156.11700004
2322,74.3347,86891,6459016.4177,17,1263.6898999999999,3304519,245640428.5093
533,77.6496,702632,54559093.747200005,7812,606598.6752,3639266,282587549.1936
655,136.191,240171,32709128.661000002,3779,514665.789,4774859,650292822.069
414,208.958,291157,60839584.406,6560,1370764.48,3913924,817845731.192
253,149.505,692437,103522793.685,9085,1358252.925,2962043,442840238.715
853,129.616,640263,82988329.00800002,1507,195331.31200000003,2794649,362231224.78400004
907,262.418,95742,25124424.156,944,247722.592,4141662,1086846658.716
1114,12.9007,642720,8291537.904,1938,25001.5566,6081357,78453762.2499
939,1055.11,168463,177746995.92999998,6868,7246495.4799999995,3782461,3990912425.7099996
2606,11.2554,5189596,58410978.818399996,17346,195236.1684,3230511,36360693.5094
2837,150.956,243404,36743294.224,6241,942116.396,4412901,666153883.356
1793,150.359,955149,143615248.491,75700,11382176.3,3088091,464322274.669
1046,85.9267,724620,62264205.353999995,8779,754350.4993,3180630,273301039.821
554,46.3771,134514,6238369.2294,1785,82783.1235,3431803,159157070.9113
1970,47.9169,52150268,2498879176.7292,4213,201873.89969999998,12330513,590839958.3697

weighted_avg,NA,NA,3455422160.6794,NA,29938958.573100004,NA,11946339573.2627
weighted_%,NA,NA,0.22391713198243762,NA,0.0019400945605186099,NA,0.7741427734570437
weighted_total,15431700692.5152
