Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,2623,570363.481,290,63059.63
2298,16.1495,0,0.0,0,0.0
2235,73.9095,34,2512.923,38,2808.5609999999997
562,151.883,1635,248328.70500000002,483,73359.489
2322,74.3347,41,3047.7227,19,1412.3593
533,77.6496,1043,80988.5328,685,53189.976
655,136.191,88,11984.808,142,19339.122
414,208.958,8649,1807277.742,3460,722994.68
253,149.505,6019,899870.595,509,76098.045
853,129.616,65,8425.04,52,6740.032000000001
907,262.418,1322,346916.596,410,107591.38
1114,12.9007,25,322.51750000000004,15,193.5105
939,1055.11,16932,17865122.52,4624,4878828.64
2606,11.2554,34,382.6836,58,652.8131999999999
2837,150.956,3804,574236.624,580,87554.48
1793,150.359,36,5412.924,63,9472.617
1046,85.9267,6534,561445.0578,548,47087.8316
554,46.3771,325,15072.557499999999,112,5194.2352
1970,47.9169,3323,159227.85869999998,220,10541.717999999999

weighted_avg,NA,NA,23160938.8886,NA,6166119.1198
weighted_%,NA,NA,0.7897464137714096,NA,0.21025358622859033
weighted_total,29327058.0084
