Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,86877,18891143.019,6791,1476682.577
2298,16.1495,0,0.0,0,0.0
2235,73.9095,1,73.9095,15,1108.6425
562,151.883,16952,2574720.6160000004,2833,430284.53900000005
2322,74.3347,1424,105852.6128,74,5500.7678
533,77.6496,762,59168.995200000005,969,75242.4624
655,136.191,546,74360.28600000001,172,23424.852
414,208.958,52270,10922234.66,13634,2848933.372
253,149.505,105465,15767544.825,7720,1154178.5999999999
853,129.616,6,777.6960000000001,50,6480.800000000001
907,262.418,7238,1899381.484,2542,667066.556
1114,12.9007,7946,102508.96220000001,108,1393.2756
939,1055.11,123171,129958953.80999999,33707,35564592.769999996
2606,11.2554,0,0.0,12,135.0648
2837,150.956,118336,17863529.216,10484,1582622.704
1793,150.359,3,451.077,22,3307.898
1046,85.9267,85792,7371823.4464,4910,421900.097
554,46.3771,1631,75641.0501,553,25646.5363
1970,47.9169,2081,99715.0689,389,18639.6741

weighted_avg,NA,NA,205767880.73409995,NA,44307141.1885
weighted_%,NA,NA,0.8228246034015608,NA,0.1771753965984391
weighted_total,250075021.92259997
