Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2766,217.447,1688168,367087067.096,359154,78096959.838
2298,16.1495,1276686,20617840.557,32738,528702.331
2235,73.9095,1555987,115002221.1765,330031,24392426.1945
562,151.883,1197818,181928191.294,899600,136633946.8
2322,74.3347,1462557,108718735.82789999,266662,19822239.7714
533,77.6496,1552405,120543627.28800002,1669995,129674443.752
655,136.191,1192231,162371132.121,164183,22360246.953
414,208.958,1532370,320200970.46,1115883,233172679.914
253,149.505,1297764,194022206.82,603979,90297880.395
853,129.616,1843141,238900563.85600004,1251832,162257456.51200002
907,262.418,1425824,374161882.432,1770049,464492718.482
1114,12.9007,413616,5335935.9312,155779,2009658.1453
939,1055.11,1456860,1537147554.6,1773092,1870807100.12
2606,11.2554,1582029,17806369.2066,181439,2042168.5206
2837,150.956,1425642,215209213.75199997,742072,112020220.83199999
1793,150.359,1486293,223477529.187,1101028,165549469.05200002
1046,85.9267,1228792,105586041.5464,287361,24691982.438699998
554,46.3771,1369456,63511397.857599996,800303,37115732.2613
1970,47.9169,1349712,64674014.932799995,32490,1556820.081

weighted_avg,NA,NA,4436302495.942,NA,3577522852.3938
weighted_%,NA,NA,0.5535811304975932,NA,0.44641886950240683
weighted_total,8013825348.3358
