Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2766,217.447,27598741,6001263434.227
2298,16.1495,0,0.0
2235,73.9095,187415264,13851768454.608
562,151.883,78489085,11921157697.055
2322,74.3347,1374893,102202258.6871
533,77.6496,66626341,5173508728.113601
655,136.191,7993451,1088636085.141
414,208.958,1634550432,341552389169.856
253,149.505,17340454,2592484575.27
853,129.616,10884182,1410764134.1120002
907,262.418,9841937,2582701423.666
1114,12.9007,55168,711705.8176000001
939,1055.11,1607942403,1696556108829.3298
2606,11.2554,311043054,3500913989.9916
2837,150.956,12099266,1826456798.2959998
1793,150.359,76457119,11496015955.721
1046,85.9267,26824903,2304975392.6101
554,46.3771,12817955,594459580.8305
1970,47.9169,350543,16796933.8767

weighted_avg,NA,NA,2102573315147.2092
weighted_%,NA,NA,1.0
weighted_total,2102573315147.2092
