Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2766,217.447,4328,941110.616,444,96546.46800000001
2298,16.1495,0,0.0,0,0.0
2235,73.9095,37,2734.6515,27,1995.5565
562,151.883,1346,204434.518,417,63335.211
2322,74.3347,21,1561.0286999999998,8,594.6776
533,77.6496,1214,94266.6144,640,49695.744000000006
655,136.191,131,17841.021,85,11576.235
414,208.958,14012,2927919.496,5928,1238703.024
253,149.505,6728,1005869.64,460,68772.3
853,129.616,64,8295.424,35,4536.56
907,262.418,956,250871.608,355,93158.39
1114,12.9007,147,1896.4029,21,270.91470000000004
939,1055.11,32396,34181343.559999995,9453,9973954.829999998
2606,11.2554,49,551.5146,58,652.8131999999999
2837,150.956,4462,673565.6719999999,416,62797.695999999996
1793,150.359,51,7668.309,93,13983.387
1046,85.9267,3799,326435.5333,328,28183.957599999998
554,46.3771,117,5426.1206999999995,55,2550.7405
1970,47.9169,47,2252.0942999999997,2,95.8338

weighted_avg,NA,NA,40654043.82439999,NA,11711404.338899998
weighted_%,NA,NA,0.7763524470872787,NA,0.22364755291272126
weighted_total,52365448.16329999
