Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
49,53.1722,105385,5603552.296999999,3223,171374.0006
1172,4605.89,114977,529571414.53000003,2499,11510119.110000001

weighted_avg,NA,NA,535174966.827,NA,11681493.110600002
weighted_%,NA,NA,0.9786388312722265,NA,0.021361168727773536
weighted_total,546856459.9376
