Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
49,53.1722,13.73,730.054306
1172,4605.89,13.624,62750.64536000001

weighted_avg,NA,NA,63480.69966600001
weighted_%,NA,NA,1.0
weighted_total,63480.69966600001
