Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,7516,6089094.915999999,168,136105.368
5297,898.498,8369,7519529.762,256,230015.488
5168,967.77,8060,7800226.2,249,240974.72999999998
2807,979.819,8314,8146215.165999999,223,218499.637
2215,509.983,7662,3907489.746,189,96386.787
1490,862.35,7710,6648718.5,254,219036.9
3954,490.914,7832,3844838.448,196,96219.144
2031,399.553,7432,2969477.896,224,89499.872

weighted_avg,NA,NA,46925590.633999996,NA,1326737.926
weighted_%,NA,NA,0.9725041678693237,NA,0.02749583213067635
weighted_total,48252328.559999995
