Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,344080,278756756.08,37046,30012853.946
5297,898.498,341668,306988014.66400003,39562,35546377.876
5168,967.77,342828,331778653.56,39729,38448534.33
2807,979.819,341833,334934468.227,38662,37881762.177999996
2215,509.983,345956,176431678.748,39073,19926565.759
1490,862.35,341324,294340751.40000004,39672,34211149.2
3954,490.914,342989,168378101.946,37475,18397002.15
2031,399.553,340541,136064178.173,35918,14351144.654

weighted_avg,NA,NA,2027672602.798,NA,228775390.093
weighted_%,NA,NA,0.8986126022785532,NA,0.10138739772144671
weighted_total,2256447992.8910003
