Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
517,810.151,93365,75639748.115
5297,898.498,87824,78909688.352
5168,967.77,91152,88214171.03999999
2807,979.819,85265,83544267.035
2215,509.983,94744,48317829.352
1490,862.35,85439,73678321.65
3954,490.914,91166,44754665.724
2031,399.553,88823,35489496.119

weighted_avg,NA,NA,528548187.387
weighted_%,NA,NA,1.0
weighted_total,528548187.387
