Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
517,810.151,1095559,887568219.4089999,363169,294221728.519
5297,898.498,1100722,988996515.556,383126,344237944.748
5168,967.77,1096559,1061216903.43,368078,356214846.06
2807,979.819,1096678,1074545941.282,364832,357469325.408
2215,509.983,1096289,559088753.087,363504,185380860.432
1490,862.35,1099431,948094322.85,373820,322363677.0
3954,490.914,1094557,537333355.0979999,368581,180941573.034
2031,399.553,1100787,439822748.211,366052,146257174.756

weighted_avg,NA,NA,6496666758.923,NA,2187087129.957
weighted_%,NA,NA,0.7481403598094046,NA,0.2518596401905953
weighted_total,8683753888.880001
