Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,3926,3180652.826,0,0.0
5297,898.498,4883,4387365.734,1,898.498
5168,967.77,4587,4439160.99,0,0.0
2807,979.819,4749,4653160.431,0,0.0
2215,509.983,4419,2253614.877,0,0.0
1490,862.35,4298,3706380.3000000003,1,862.35
3954,490.914,4344,2132530.4159999997,0,0.0
2031,399.553,3866,1544671.898,0,0.0

weighted_avg,NA,NA,26297537.472000003,NA,1760.848
weighted_%,NA,NA,0.9999330458182353,NA,6.695418176464868e-05
weighted_total,26299298.320000004
