Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
517,810.151,1480838,1199702386.5379999,7915,6412345.165
5297,898.498,1485281,1334522007.938,8886,7984053.228
5168,967.77,1483407,1435596792.3899999,8516,8241529.32
2807,979.819,1480371,1450495632.849,8772,8594972.268
2215,509.983,1481733,755658640.539,8021,4090573.643
1490,862.35,1486697,1282053157.95,8201,7072132.350000001
3954,490.914,1482110,727588548.54,8242,4046113.188
2031,399.553,1482149,592197079.397,7825,3126502.225

weighted_avg,NA,NA,8777814246.140999,NA,49568221.387
weighted_%,NA,NA,0.9943847203211894,NA,0.00561527967881072
weighted_total,8827382467.527998
