Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
517,810.151,520008092,421285075741.89197
5297,898.498,536187911,481763765657.67804
5168,967.77,518667323,501950675179.70996
2807,979.819,518926410,508453956119.79
2215,509.983,524644029,267559535841.507
1490,862.35,536305323,462482895289.05
3954,490.914,524833478,257648102018.892
2031,399.553,533137035,213016501745.355

weighted_avg,NA,NA,3114160507593.874
weighted_%,NA,NA,1.0
weighted_total,3114160507593.874
