Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,6225,5043189.975,1459,1182010.309
5297,898.498,6880,6181666.24,1745,1567879.01
5168,967.77,6732,6515027.64,1577,1526173.29
2807,979.819,6818,6680405.942,1719,1684308.861
2215,509.983,6436,3282250.588,1415,721625.945
1490,862.35,6393,5513003.55,1571,1354751.85
3954,490.914,6214,3050539.596,1814,890517.9959999999
2031,399.553,5811,2321802.483,1845,737175.285

weighted_avg,NA,NA,38587886.014,NA,9664442.546
weighted_%,NA,NA,0.7997103386630839,NA,0.200289661336916
weighted_total,48252328.56
