Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,283091,229346456.741,60989,49410299.338999994
5297,898.498,277657,249474259.18600002,64011,57513755.478
5168,967.77,281380,272311122.6,61448,59467530.96
2807,979.819,281533,275851382.527,60300,59083085.699999996
2215,509.983,284118,144895349.994,61838,31536328.754
1490,862.35,280403,241805527.05,60921,52535224.35
3954,490.914,282619,138741623.766,60370,29636478.18
2031,399.553,280314,112000299.642,60227,24063878.531

weighted_avg,NA,NA,1664426021.506,NA,363246581.29200006
weighted_%,NA,NA,0.8208554079239649,NA,0.1791445920760351
weighted_total,2027672602.798
