Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
517,810.151,20936,16961321.336,656,531459.056
5297,898.498,20418,18345532.164,832,747550.336
5168,967.77,20357,19700893.89,564,545822.28
2807,979.819,19585,19189755.115,847,829906.693
2215,509.983,20238,10321035.954,677,345258.491
1490,862.35,18805,16216491.75,648,558802.8
3954,490.914,19409,9528149.826,836,410404.104
2031,399.553,18387,7346581.011,892,356401.276

weighted_avg,NA,NA,117609761.046,NA,4325605.036
weighted_%,NA,NA,0.9645254270767426,NA,0.03547457292325743
weighted_total,121935366.082
