Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,89947675,72871198848.925
5297,898.498,90038025,80898985386.45
5168,967.77,90367376,87454835471.52
2807,979.819,90443189,88617955002.791
2215,509.983,90247108,46024490879.164
1490,862.35,90413494,77968076550.90001
3954,490.914,90426427,44391598984.278
2031,399.553,90046125,35978199382.125

weighted_avg,NA,NA,534205340506.1531
weighted_%,NA,NA,1.0
weighted_total,534205340506.1531
