Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,26406,21392847.305999998,0,0.0
5297,898.498,39156,35181587.688,20,17969.96
5168,967.77,34460,33349354.2,0,0.0
2807,979.819,34363,33669520.297,0,0.0
2215,509.983,33380,17023232.54,0,0.0
1490,862.35,33929,29258673.150000002,25,21558.75
3954,490.914,32108,15762266.712,0,0.0
2031,399.553,28924,11556670.972,0,0.0

weighted_avg,NA,NA,197194152.865,NA,39528.71
weighted_%,NA,NA,0.9997995843829292,NA,0.0002004156170708035
weighted_total,197233681.57500002
