Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
517,810.151,1463720,1185834221.72,494569,400675569.91899997
5297,898.498,1463943,1315349857.614,518456,465831679.088
5168,967.77,1463552,1416381719.04,498533,482465281.40999997
2807,979.819,1463313,1433781880.347,494058,484087415.502
2215,509.983,1464454,746846644.2820001,495108,252496663.164
1490,862.35,1464636,1263028854.6000001,505053,435532454.55
3954,490.914,1463955,718676004.87,496552,243764328.528
2031,399.553,1464988,585340350.364,493994,197376784.682

weighted_avg,NA,NA,8665239532.837,NA,2962230176.843
weighted_%,NA,NA,0.7452386244982508,NA,0.2547613755017491
weighted_total,11627469709.68
