Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
517,810.151,645013760,522558542677.75995
5297,898.498,647422078,581707442238.844
5168,967.77,647355316,626491054165.32
2807,979.819,647653588,634583290940.572
2215,509.983,647003343,329960705873.169
1490,862.35,648467283,559205761495.05
3954,490.914,647999245,318111901359.93
2031,399.553,645553325,257932767663.725

weighted_avg,NA,NA,3830551466414.37
weighted_%,NA,NA,1.0
weighted_total,3830551466414.37
