Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
517,810.151,893477,723851285.027,30966,25087135.866
5297,898.498,886513,796530157.4740001,31679,28463518.142
5168,967.77,890712,862004352.24,30852,29857640.04
2807,979.819,891476,873485122.844,30981,30355772.439
2215,509.983,894776,456320548.808,31296,15960427.968
1490,862.35,886943,764855296.0500001,31928,27533110.8
3954,490.914,893281,438524148.834,31304,15367571.855999999
2031,399.553,895747,357898401.091,31745,12683809.985

weighted_avg,NA,NA,5273469312.367999,NA,185308987.09600002
weighted_%,NA,NA,0.9660530292805268,NA,0.03394697071947319
weighted_total,5458778299.463999
