Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
517,810.151,78382,63501255.682,17450,14137134.95
5297,898.498,77642,69761181.716,18576,16690498.848000001
5168,967.77,77606,75104758.62,17336,16777260.72
2807,979.819,77086,75530327.434,17040,16696115.76
2215,509.983,76993,39265121.119,17334,8840045.322
1490,862.35,76929,66339723.15,17832,15377425.200000001
3954,490.914,79769,39159718.866,16298,8000916.3719999995
2031,399.553,77672,31034080.616,16581,6624988.293

weighted_avg,NA,NA,459696167.203,NA,103144385.46499999
weighted_%,NA,NA,0.8167431522549846,NA,0.18325684774501538
weighted_total,562840552.668
