Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
517,810.151,286224,231884659.824,86539,70109657.389
5297,898.498,282026,253399796.948,88628,79632080.744
5168,967.77,285854,276640925.58,85800,83034666.0
2807,979.819,286008,280236072.552,84746,83035740.97399999
2215,509.983,287639,146691000.137,86507,44117099.381
1490,862.35,284728,245535190.8,85007,73305786.45
3954,490.914,286087,140444113.518,83911,41193084.654
2031,399.553,283001,113073898.553,83144,33220434.632

weighted_avg,NA,NA,1687905657.9120002,NA,507648550.224
weighted_%,NA,NA,0.7687834131615509,NA,0.23121658683844917
weighted_total,2195554208.136
